Part Number;Package;Color;Dominant Wavelength Min. (nm)orColor Coordinate(x, y)(nm);Dominant Wavelength Typ. (nm)orColor Coordinate(x, y)(nm);Dominant Wavelength Max. (nm)orColor Coordinate(x, y)(nm);Luminous Intensity IVMin.(mcd);Luminous Intensity IVTyp.(mcd);Luminous Intensity IVMax.(mcd);IFforIV(mA);Luminous Flux ΦVMin.(mIm);Luminous Flux ΦVTyp.(mIm);Luminous Flux ΦVMax.(mIm);IFforΦV(mA);Forward Voltage, VFTyp.(V);Forward Voltage, VFMax.(V);Angle of Half Intensity(± °);Key Feature;Image path;Datasheet part;3d model part
VLMG1500;SMD 0402 ChipLED;Yellow green;567.5;571;576.5;18;35;112;20;;;;;2.00;2.40;65;Standard;82554;leds\VLMG1500\VLMG1500.pdf;
VLMG21J2L1;SMD MiniLED;Green;562;572;575;5.6;11.5;14;10;;;;;2.1;2.8;60;Standard;81750;leds\VLMG21J2L1\VLMG21J2L1.pdf;
VLMG21J2M1;SMD MiniLED;Green;562;572;575;5.6;12;22.4;10;;;;;2.1;2.8;60;Standard;81750;leds\VLMG21J2M1\VLMG21J2M1.pdf;
VLMG21K1L2;SMD MiniLED;Green;562;572;575;7.1;12;18;10;;;;;2.1;2.8;60;Standard;81750;leds\VLMG21K1L2\VLMG21K1L2.pdf;
VLMG3100;SMD PLCC-2;Green;562;572;575;4.5;16;;10;;;;;2.1;2.8;60;Standard;84789;leds\VLMG3100\VLMG3100.pdf;
VLMG3102;SMD PLCC-2;Green;562;572;575;11.2;16;18;10;;;;;2.1;2.8;60;Standard;84789;leds\VLMG3102\VLMG3102.pdf;
VLMG3105;SMD PLCC-2;Green;562;572;575;7.1;16;18;10;;;;;2.1;2.8;60;Standard;84789;leds\VLMG3105\VLMG3105.pdf;
VLMG31K1L2;SMD PLCC-2;Green;562;572;575;7.1;15;18;10;;;;;2.1;2.8;60;Standard;81323;leds\VLMG31K1L2\VLMG31K1L2.pdf;
VLMG31K1M2;SMD PLCC-2;Green;562;572;575;7.1;15;28;10;;;;;2.1;2.8;60;Standard;81323;leds\VLMG31K1M2\VLMG31K1M2.pdf;
VLMG31L1M2;SMD PLCC-2;Green;562;572;575;11.2;16;28;10;;;;;2.1;2.8;60;Standard;81323;leds\VLMG31L1M2\VLMG31L1M2.pdf;
VLMH3100;SMD PLCC-2;Amber;612;619;625;2.8;12;;10;;;;;2;2.8;60;Standard;84789;leds\VLMH3100\VLMH3100.pdf;
VLMH3102;SMD PLCC-2;Amber;612;619;625;7.1;12;18;10;;;;;2;2.8;60;Standard;84789;leds\VLMH3102\VLMH3102.pdf;
VLMK3100;SMD PLCC-2;Red;;630;;11.2;50;;10;;;;;1.9;2.6;60;Standard;81230;leds\VLMK3100\VLMK3100.pdf;
VLMK3102;SMD PLCC-2;Red;;630;;22.4;43;56;10;;;;;1.9;2.6;60;Standard;81230;leds\VLMK3102\VLMK3102.pdf;
VLMK3105;SMD PLCC-2;Red;;630;;35.5;50;90;10;;;;;1.9;2.6;60;Standard;81230;leds\VLMK3105\VLMK3105.pdf;
VLMK31Q1R2;SMD PLCC-2;Red;;630;;71;138;180;20;;;;;1.9;2.6;60;Standard;81329;leds\VLMK31Q1R2\VLMK31Q1R2.pdf;
VLMK31R1S1;SMD PLCC-2;Red;;630;;112;142;224;20;;;;;1.9;2.6;60;Standard;81329;leds\VLMK31R1S1\VLMK31R1S1.pdf;
VLMK31R1S2;SMD PLCC-2;Red;;630;;112;142;280;20;;;;;1.9;2.6;60;Standard;81329;leds\VLMK31R1S2\VLMK31R1S2.pdf;
VLMK31R2S2;SMD PLCC-2;Red;;630;;140;160;280;20;;;;;1.9;2.6;60;Standard;81329;leds\VLMK31R2S2\VLMK31R2S2.pdf;
VLMO1300;SMD 0603 ChipLED;Soft orange;;605;;45;90;;20;;;;;2.0;2.4;65;Standard;82437;leds\VLMO1300\VLMO1300.pdf;
VLMO1500;SMD 0402 ChipLED;Soft orange;598;605;612;45;90;280;20;;;;;2.00;2.40;65;Standard;82554;leds\VLMO1500\VLMO1500.pdf;
VLMO2100;SMD MiniLED;Soft orange;598;605;611;3.55;7.0;;10;;;;;2.1;3;60;Standard;81233;leds\VLMO2100\VLMO2100.pdf;
VLMO3100;SMD PLCC-2;Soft orange;598;605;611;2.8;8;;10;;;;;2;2.8;60;Standard;84789;leds\VLMO3100\VLMO3100.pdf;
VLMO31J1K2;SMD PLCC-2;Soft orange;598;605;611;4.5;8;11.2;10;;;;;2.0;2.8;60;Standard;81333;leds\VLMO31J1K2\VLMO31J1K2.pdf;
VLMO31K1L2;SMD PLCC-2;Soft orange;598;605;611;7.1;8.5;18;10;;;;;2.0;2.8;60;Standard;81333;leds\VLMO31K1L2\VLMO31K1L2.pdf;
VLMP23L2M2;SMD MiniLED;Pure green;555;560;565;14;;28;20;;;;;2.2;2.6;60;Standard;81704;leds\VLMP23L2M2\VLMP23L2M2.pdf;
VLMP3100;SMD PLCC-2;Pure green;555;560;565;1.12;4;;6;;;;;2.1;2.8;60;Standard;81328;leds\VLMP3100\VLMP3100.pdf;
