Part Number;Status;Description;Product Type;VINMin.(V);VINMax.(V);Package;Package Size(W, L, H)(mm);Image path;Datasheet part;3d model part
SiP32433B;Active;3.5 A, 78 mΩ, 2.8 V to 23 V, programmable OVP and current limit, active reverse blocking, auto retry on fault;Slew rate, current limit;2.8;28;DFN33-10L;3.0 x 3.0 x 0.9;63175;Datasheet/power-ics/industrial/SiP32433B/SiP32433B.pdf;None
SiC461;Active;10 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous buck regulator;"microBUCK
(step down regulator)";4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;65124;Datasheet/power-ics/industrial/SiC461/SiC461.pdf;None
SiC462;Active;6 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous buck regulator;"microBUCK
(step down regulator)";4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;65124;Datasheet/power-ics/industrial/SiC462/SiC462.pdf;None
SiC463;Active;4 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous buck regulator;"microBUCK
(step down regulator)";4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;65124;Datasheet/power-ics/industrial/SiC463/SiC463.pdf;None
SiC464;Active;2 A, 4.5 V to 60 V input, 100 kHz to 2 MHz, synchronous buck regulator;"microBUCK
(step down regulator)";4.5;60;PowerPAK MLP55-27L;5 x 5 x 0.75;65124;Datasheet/power-ics/industrial/SiC464/SiC464.pdf;None
SiC471;New;12 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;"microBUCK
(step down regulator)";4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;75786;Datasheet/power-ics/industrial/SiC471/SiC471.pdf;None
SiC472;New;8 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;"microBUCK
(step down regulator)";4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;75786;Datasheet/power-ics/industrial/SiC472/SiC472.pdf;None
SiC473;New;5 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;"microBUCK
(step down regulator)";4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;75786;Datasheet/power-ics/industrial/SiC473/SiC473.pdf;None
SiC474;New;3 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;"microBUCK
(step down regulator)";4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;75786;Datasheet/power-ics/industrial/SiC474/SiC474.pdf;None
SiC967;New;4.5 V to 60 V input, 6 A, microBRICK® DC/DC regulator module;microBRICK® (step down regulator)?;4.5;60;PowerPAK MLP54-A6C;10.6 x 6.5 x 3;76444;Datasheet/power-ics/industrial/SiC967/SiC967.pdf;None
SiC931;New;4.5 V to 18 V input, 20 A microBRICK® DC/DC regulator module;microBRICK® (step down regulator);4.5;18;PowerPAK MLP60-A6C;10.6 x 6.5 x 3;79602;Datasheet/power-ics/industrial/SiC931/SiC931.pdf;None
SiC454;New;4.5 V to 20 V input 12 A microBUCK DC/DC converter with PMBus;microBUCK;4.5;20;PowerPAK MLP29-55;5.0 x 5.0 x 0.75;63042;Datasheet/power-ics/industrial/SiC454/SiC454.pdf;None
SiC450;New;4.5 V to 20 V input 40 A microBUCK DC/DC converter with PMBus;microBUCK;4.5;20;PowerPAK MLP34-57;5.0 x 7.0 x 0.75;77863;Datasheet/power-ics/industrial/SiC450/SiC450.pdf;None
SiC451;New;4.5 V to 20 V input 25 A microBUCK DC/DC converter with PMBus;microBUCK;4.5;20;PowerPAK MLP34-57;5.0 x 7.0 x 0.75;77863;Datasheet/power-ics/industrial/SiC451/SiC451.pdf;None
SiC453;New;4.5 V to 20 V input 15 A microBUCK DC/DC converter with PMBus;microBUCK;4.5;20;PowerPAK MLP34-57;5.0 x 7.0 x 0.75;77863;Datasheet/power-ics/industrial/SiC453/SiC453.pdf;None
SiC476;New;12 A, 4.5 V to 55 V input,100 kHz to 2 MHz,synchronous microBUCKregulator;microBUCK (step down regulator);4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;77113;Datasheet/power-ics/industrial/SiC476/SiC476.pdf;None
SiC477;New;8 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;microBUCK (step down regulator);4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;77113;Datasheet/power-ics/industrial/SiC477/SiC477.pdf;None
SiC478;New;5 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;microBUCK (step down regulator);4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;77113;Datasheet/power-ics/industrial/SiC478/SiC478.pdf;None
SiC479;New;3 A, 4.5 V to 55 V input, 100 kHz to 2 MHz, synchronous microBUCK regulator;microBUCK (step down regulator);4.5;55;PowerPAK MLP55-27L;5 x 5 x 0.75;77113;Datasheet/power-ics/industrial/SiC479/SiC479.pdf;None
SiC32311;;0.6 mΩ, hot-swap eFuse, IMON, GOK, D_OC report latch on fault;Hot swap, eFuse, slew rate, current report;4.5;25;PowerPAK MLP32-55;5 x 5 x 1;61531;Datasheet/power-ics/industrial/SiC32311/SiC32311.pdf;None
SiC534;Active;30 A power stage, 4.5 VINto 24 VIN, 5 V PWM with ZCD, PS4 mode;VRPower (DrMOS);4.5;24;PowerPAK MLP4535-22L;4.5 x 3.5 x 0.75;76433;Datasheet/power-ics/industrial/SiC534/SiC534.pdf;None
SiC533;Active;35 A power stage, 4.5 VINto 24 VIN, 5 V PWM with ZCD, PS4 mode;VRPower (DrMOS);4.5;24;PowerPAK MLP4535-22L;4.5 x 3.5 x 0.75;75010;Datasheet/power-ics/industrial/SiC533/SiC533.pdf;None
SiC32309;;0.6 mΩ, hot-swap eFuse, IMON, GOK, D_OC report latch on fault;Hot swap, eFuse, slew rate, current report;4.5;25;PowerPAK MLP32-55;5 x 5 x 1;62376;Datasheet/power-ics/industrial/SiC32309/SiC32309.pdf;None
