Part Number;Product Image;Package;Dimensions(mm);Carrier Frequency(kHz);AGC;Transmission DistanceTyp.(m);Detection Threshold /Sensitivity Typ.;Half ViewingAngle(°);Supply CurrentTyp.(mA);Pinning;Recommended for RemoteControl Code;Application;Mounting;Image path;Datasheet part;3d model part
TSOP33156DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;56;AGC1;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;SMD;image/ir-receiver-modules/82888.png;Datasheet\/ir-receiver-modules/TSOP33156DF1P\TSOP33156DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33156DF1P\TSOP33156DF1P.zip
TSOP33230;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;30;AGC2;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82663.png;Datasheet\/ir-receiver-modules/TSOP33230\TSOP33230.pdf;Datasheet\/ir-receiver-modules/TSOP33230\TSOP33230.zip
TSOP33230DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;30;AGC2;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;SMD;image/ir-receiver-modules/82889.png;Datasheet\/ir-receiver-modules/TSOP33230DF1P\TSOP33230DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33230DF1P\TSOP33230DF1P.zip
TSOP33233;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;33;AGC2;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82663.png;Datasheet\/ir-receiver-modules/TSOP33233\TSOP33233.pdf;Datasheet\/ir-receiver-modules/TSOP33233\TSOP33233.zip
TSOP33233DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;33;AGC2;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;SMD;image/ir-receiver-modules/82889.png;Datasheet\/ir-receiver-modules/TSOP33233DF1P\TSOP33233DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33233DF1P\TSOP33233DF1P.zip
TSOP33236;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;36;AGC2;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82663.png;Datasheet\/ir-receiver-modules/TSOP33236\TSOP33236.pdf;Datasheet\/ir-receiver-modules/TSOP33236\TSOP33236.zip
TSOP33236DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;36;AGC2;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;SMD;image/ir-receiver-modules/82889.png;Datasheet\/ir-receiver-modules/TSOP33236DF1P\TSOP33236DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33236DF1P\TSOP33236DF1P.zip
TSOP33238;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;38;AGC2;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82663.png;Datasheet\/ir-receiver-modules/TSOP33238\TSOP33238.pdf;Datasheet\/ir-receiver-modules/TSOP33238\TSOP33238.zip
TSOP33238DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;38;AGC2;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;SMD;image/ir-receiver-modules/82889.png;Datasheet\/ir-receiver-modules/TSOP33238DF1P\TSOP33238DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33238DF1P\TSOP33238DF1P.zip
TSOP33240;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;40;AGC2;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82663.png;Datasheet\/ir-receiver-modules/TSOP33240\TSOP33240.pdf;Datasheet\/ir-receiver-modules/TSOP33240\TSOP33240.zip
TSOP33240DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;40;AGC2;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;SMD;image/ir-receiver-modules/82889.png;Datasheet\/ir-receiver-modules/TSOP33240DF1P\TSOP33240DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33240DF1P\TSOP33240DF1P.zip
TSOP33256;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;56;AGC2;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82663.png;Datasheet\/ir-receiver-modules/TSOP33256\TSOP33256.pdf;Datasheet\/ir-receiver-modules/TSOP33256\TSOP33256.zip
TSOP33256DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;56;AGC2;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;SMD;image/ir-receiver-modules/82889.png;Datasheet\/ir-receiver-modules/TSOP33256DF1P\TSOP33256DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33256DF1P\TSOP33256DF1P.zip
TSOP33330;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;30;AGC3;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82742.png;Datasheet\/ir-receiver-modules/TSOP33330\TSOP33330.pdf;Datasheet\/ir-receiver-modules/TSOP33330\TSOP33330.zip
TSOP33330DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;30;AGC3;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;SMD;image/ir-receiver-modules/82888.png;Datasheet\/ir-receiver-modules/TSOP33330DF1P\TSOP33330DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33330DF1P\TSOP33330DF1P.zip
TSOP33333;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;33;AGC3;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82742.png;Datasheet\/ir-receiver-modules/TSOP33333\TSOP33333.pdf;Datasheet\/ir-receiver-modules/TSOP33333\TSOP33333.zip
TSOP33333DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;33;AGC3;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;SMD;image/ir-receiver-modules/82888.png;Datasheet\/ir-receiver-modules/TSOP33333DF1P\TSOP33333DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33333DF1P\TSOP33333DF1P.zip
TSOP33336;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;36;AGC3;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;MCIR;Remote control;Leaded;image/ir-receiver-modules/82742.png;Datasheet\/ir-receiver-modules/TSOP33336\TSOP33336.pdf;Datasheet\/ir-receiver-modules/TSOP33336\TSOP33336.zip
TSOP33336;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;36;AGC3;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;RCMM;Remote control;Leaded;image/ir-receiver-modules/82742.png;Datasheet\/ir-receiver-modules/TSOP33336\TSOP33336.pdf;Datasheet\/ir-receiver-modules/TSOP33336\TSOP33336.zip
TSOP33336DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;36;AGC3;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;MCIR;Remote control;SMD;image/ir-receiver-modules/82888.png;Datasheet\/ir-receiver-modules/TSOP33336DF1P\TSOP33336DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33336DF1P\TSOP33336DF1P.zip
TSOP33336DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;36;AGC3;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;RCMM;Remote control;SMD;image/ir-receiver-modules/82888.png;Datasheet\/ir-receiver-modules/TSOP33336DF1P\TSOP33336DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33336DF1P\TSOP33336DF1P.zip
TSOP33338;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;38;AGC3;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;RECS-80 Code;Remote control;Leaded;image/ir-receiver-modules/82742.png;Datasheet\/ir-receiver-modules/TSOP33338\TSOP33338.pdf;Datasheet\/ir-receiver-modules/TSOP33338\TSOP33338.zip
TSOP33338;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;38;AGC3;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;r-map;Remote control;Leaded;image/ir-receiver-modules/82742.png;Datasheet\/ir-receiver-modules/TSOP33338\TSOP33338.pdf;Datasheet\/ir-receiver-modules/TSOP33338\TSOP33338.zip
TSOP33338;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;38;AGC3;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;XMP;Remote control;Leaded;image/ir-receiver-modules/82742.png;Datasheet\/ir-receiver-modules/TSOP33338\TSOP33338.pdf;Datasheet\/ir-receiver-modules/TSOP33338\TSOP33338.zip
TSOP33338DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;38;AGC3;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;RECS-80 Code;Remote control;SMD;image/ir-receiver-modules/82888.png;Datasheet\/ir-receiver-modules/TSOP33338DF1P\TSOP33338DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33338DF1P\TSOP33338DF1P.zip
TSOP33338DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;38;AGC3;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;r-map;Remote control;SMD;image/ir-receiver-modules/82888.png;Datasheet\/ir-receiver-modules/TSOP33338DF1P\TSOP33338DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33338DF1P\TSOP33338DF1P.zip
TSOP33338DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;38;AGC3;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;XMP;Remote control;SMD;image/ir-receiver-modules/82888.png;Datasheet\/ir-receiver-modules/TSOP33338DF1P\TSOP33338DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33338DF1P\TSOP33338DF1P.zip
TSOP33340;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;40;AGC3;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82742.png;Datasheet\/ir-receiver-modules/TSOP33340\TSOP33340.pdf;Datasheet\/ir-receiver-modules/TSOP33340\TSOP33340.zip
TSOP33340DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;40;AGC3;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;SMD;image/ir-receiver-modules/82888.png;Datasheet\/ir-receiver-modules/TSOP33340DF1P\TSOP33340DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33340DF1P\TSOP33340DF1P.zip
TSOP33356;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;56;AGC3;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82742.png;Datasheet\/ir-receiver-modules/TSOP33356\TSOP33356.pdf;Datasheet\/ir-receiver-modules/TSOP33356\TSOP33356.zip
TSOP33356DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;56;AGC3;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;SMD;image/ir-receiver-modules/82888.png;Datasheet\/ir-receiver-modules/TSOP33356DF1P\TSOP33356DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33356DF1P\TSOP33356DF1P.zip
TSOP33430;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;30;AGC4;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82663.png;Datasheet\/ir-receiver-modules/TSOP33430\TSOP33430.pdf;Datasheet\/ir-receiver-modules/TSOP33430\TSOP33430.zip
TSOP33430DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;30;AGC4;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;SMD;image/ir-receiver-modules/82889.png;Datasheet\/ir-receiver-modules/TSOP33430DF1P\TSOP33430DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33430DF1P\TSOP33430DF1P.zip
TSOP33433;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;33;AGC4;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82663.png;Datasheet\/ir-receiver-modules/TSOP33433\TSOP33433.pdf;Datasheet\/ir-receiver-modules/TSOP33433\TSOP33433.zip
TSOP33433DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;33;AGC4;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;SMD;image/ir-receiver-modules/82889.png;Datasheet\/ir-receiver-modules/TSOP33433DF1P\TSOP33433DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33433DF1P\TSOP33433DF1P.zip
TSOP33436;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;36;AGC4;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;RC-5;Remote control;Leaded;image/ir-receiver-modules/82663.png;Datasheet\/ir-receiver-modules/TSOP33436\TSOP33436.pdf;Datasheet\/ir-receiver-modules/TSOP33436\TSOP33436.zip
TSOP33436;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;36;AGC4;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;RC-6;Remote control;Leaded;image/ir-receiver-modules/82663.png;Datasheet\/ir-receiver-modules/TSOP33436\TSOP33436.pdf;Datasheet\/ir-receiver-modules/TSOP33436\TSOP33436.zip
TSOP33436;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;36;AGC4;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;Panasonic;Remote control;Leaded;image/ir-receiver-modules/82663.png;Datasheet\/ir-receiver-modules/TSOP33436\TSOP33436.pdf;Datasheet\/ir-receiver-modules/TSOP33436\TSOP33436.zip
TSOP33436DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;36;AGC4;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;RC-5;Remote control;SMD;image/ir-receiver-modules/82889.png;Datasheet\/ir-receiver-modules/TSOP33436DF1P\TSOP33436DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33436DF1P\TSOP33436DF1P.zip
TSOP33436DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;36;AGC4;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;RC-6;Remote control;SMD;image/ir-receiver-modules/82889.png;Datasheet\/ir-receiver-modules/TSOP33436DF1P\TSOP33436DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33436DF1P\TSOP33436DF1P.zip
TSOP33436DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;36;AGC4;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;Panasonic;Remote control;SMD;image/ir-receiver-modules/82889.png;Datasheet\/ir-receiver-modules/TSOP33436DF1P\TSOP33436DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33436DF1P\TSOP33436DF1P.zip
TSOP33438;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;38;AGC4;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;NEC;Remote control;Leaded;image/ir-receiver-modules/82663.png;Datasheet\/ir-receiver-modules/TSOP33438\TSOP33438.pdf;Datasheet\/ir-receiver-modules/TSOP33438\TSOP33438.zip
TSOP33438;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;38;AGC4;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;Sharp;Remote control;Leaded;image/ir-receiver-modules/82663.png;Datasheet\/ir-receiver-modules/TSOP33438\TSOP33438.pdf;Datasheet\/ir-receiver-modules/TSOP33438\TSOP33438.zip
TSOP33438;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;38;AGC4;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;Mitsubishi;Remote control;Leaded;image/ir-receiver-modules/82663.png;Datasheet\/ir-receiver-modules/TSOP33438\TSOP33438.pdf;Datasheet\/ir-receiver-modules/TSOP33438\TSOP33438.zip
TSOP33438DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;38;AGC4;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;NEC;Remote control;SMD;image/ir-receiver-modules/82889.png;Datasheet\/ir-receiver-modules/TSOP33438DF1P\TSOP33438DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33438DF1P\TSOP33438DF1P.zip
TSOP33438DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;38;AGC4;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;Sharp;Remote control;SMD;image/ir-receiver-modules/82889.png;Datasheet\/ir-receiver-modules/TSOP33438DF1P\TSOP33438DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33438DF1P\TSOP33438DF1P.zip
TSOP33438DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;38;AGC4;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;Mitsubishi;Remote control;SMD;image/ir-receiver-modules/82889.png;Datasheet\/ir-receiver-modules/TSOP33438DF1P\TSOP33438DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33438DF1P\TSOP33438DF1P.zip
TSOP33440;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;40;AGC4;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82663.png;Datasheet\/ir-receiver-modules/TSOP33440\TSOP33440.pdf;Datasheet\/ir-receiver-modules/TSOP33440\TSOP33440.zip
TSOP33440DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;40;AGC4;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;SMD;image/ir-receiver-modules/82889.png;Datasheet\/ir-receiver-modules/TSOP33440DF1P\TSOP33440DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33440DF1P\TSOP33440DF1P.zip
TSOP33456;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;56;AGC4;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;Thomson RCA;Remote control;Leaded;image/ir-receiver-modules/82663.png;Datasheet\/ir-receiver-modules/TSOP33456\TSOP33456.pdf;Datasheet\/ir-receiver-modules/TSOP33456\TSOP33456.zip
TSOP33456DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;56;AGC4;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;Thomson RCA;Remote control;SMD;image/ir-receiver-modules/82889.png;Datasheet\/ir-receiver-modules/TSOP33456DF1P\TSOP33456DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33456DF1P\TSOP33456DF1P.zip
TSOP33530;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;30;AGC5;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82742.png;Datasheet\/ir-receiver-modules/TSOP33530\TSOP33530.pdf;Datasheet\/ir-receiver-modules/TSOP33530\TSOP33530.zip
TSOP33530DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;30;AGC5;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;SMD;image/ir-receiver-modules/82888.png;Datasheet\/ir-receiver-modules/TSOP33530DF1P\TSOP33530DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33530DF1P\TSOP33530DF1P.zip
TSOP33533;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;33;AGC5;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82742.png;Datasheet\/ir-receiver-modules/TSOP33533\TSOP33533.pdf;Datasheet\/ir-receiver-modules/TSOP33533\TSOP33533.zip
TSOP33533DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;33;AGC5;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;SMD;image/ir-receiver-modules/82888.png;Datasheet\/ir-receiver-modules/TSOP33533DF1P\TSOP33533DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33533DF1P\TSOP33533DF1P.zip
TSOP33536;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;36;AGC5;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82742.png;Datasheet\/ir-receiver-modules/TSOP33536\TSOP33536.pdf;Datasheet\/ir-receiver-modules/TSOP33536\TSOP33536.zip
TSOP33536DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;36;AGC5;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;SMD;image/ir-receiver-modules/82888.png;Datasheet\/ir-receiver-modules/TSOP33536DF1P\TSOP33536DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33536DF1P\TSOP33536DF1P.zip
TSOP33538;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;38;AGC5;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82742.png;Datasheet\/ir-receiver-modules/TSOP33538\TSOP33538.pdf;Datasheet\/ir-receiver-modules/TSOP33538\TSOP33538.zip
TSOP33538DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;38;AGC5;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;SMD;image/ir-receiver-modules/82888.png;Datasheet\/ir-receiver-modules/TSOP33538DF1P\TSOP33538DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33538DF1P\TSOP33538DF1P.zip
TSOP33540;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;40;AGC5;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82742.png;Datasheet\/ir-receiver-modules/TSOP33540\TSOP33540.pdf;Datasheet\/ir-receiver-modules/TSOP33540\TSOP33540.zip
TSOP33540DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;40;AGC5;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;SMD;image/ir-receiver-modules/82888.png;Datasheet\/ir-receiver-modules/TSOP33540DF1P\TSOP33540DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33540DF1P\TSOP33540DF1P.zip
TSOP33556;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;56;AGC5;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;Leaded;image/ir-receiver-modules/82742.png;Datasheet\/ir-receiver-modules/TSOP33556\TSOP33556.pdf;Datasheet\/ir-receiver-modules/TSOP33556\TSOP33556.zip
TSOP33556DF1P;Enlarge;Minimold;5.4 W x 6.35 H x 4.9 D;56;AGC5;39;0.05;± 45;0.35;1 = OUT, 2 = GND, 3 = VS;;Remote control;SMD;image/ir-receiver-modules/82888.png;Datasheet\/ir-receiver-modules/TSOP33556DF1P\TSOP33556DF1P.pdf;Datasheet\/ir-receiver-modules/TSOP33556DF1P\TSOP33556DF1P.zip
TSOP34130;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;30;AGC1;39;0.05;± 45;0.35;"1 = OUT,
2 = GND, 3 = VS";;Remote control;Leaded;image/ir-receiver-modules/82490.png;Datasheet\/ir-receiver-modules/TSOP34130\TSOP34130.pdf;Datasheet\/ir-receiver-modules/TSOP34130\TSOP34130.zip
TSOP34133;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;33;AGC1;39;0.05;± 45;0.35;"1 = OUT,
2 = GND, 3 = VS";;Remote control;Leaded;image/ir-receiver-modules/82490.png;Datasheet\/ir-receiver-modules/TSOP34133\TSOP34133.pdf;Datasheet\/ir-receiver-modules/TSOP34133\TSOP34133.zip
TSOP34136;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;36;AGC1;39;0.05;± 45;0.35;"1 = OUT,
2 = GND, 3 = VS";;Remote control;Leaded;image/ir-receiver-modules/82490.png;Datasheet\/ir-receiver-modules/TSOP34136\TSOP34136.pdf;Datasheet\/ir-receiver-modules/TSOP34136\TSOP34136.zip
TSOP34138;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;38;AGC1;39;0.05;± 45;0.35;"1 = OUT,
2 = GND, 3 = VS";;Remote control;Leaded;image/ir-receiver-modules/82490.png;Datasheet\/ir-receiver-modules/TSOP34138\TSOP34138.pdf;Datasheet\/ir-receiver-modules/TSOP34138\TSOP34138.zip
TSOP34140;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;40;AGC1;39;0.05;± 45;0.35;"1 = OUT,
2 = GND, 3 = VS";;Remote control;Leaded;image/ir-receiver-modules/82490.png;Datasheet\/ir-receiver-modules/TSOP34140\TSOP34140.pdf;Datasheet\/ir-receiver-modules/TSOP34140\TSOP34140.zip
TSOP34156;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;56;AGC1;39;0.05;± 45;0.35;"1 = OUT,
2 = GND, 3 = VS";;Remote control;Leaded;image/ir-receiver-modules/82490.png;Datasheet\/ir-receiver-modules/TSOP34156\TSOP34156.pdf;Datasheet\/ir-receiver-modules/TSOP34156\TSOP34156.zip
TSOP34330;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;30;AGC3;39;0.05;± 45;0.35;"1 = OUT,
2 = GND, 3 = VS";;Remote control;Leaded;image/ir-receiver-modules/82490.png;Datasheet\/ir-receiver-modules/TSOP34330\TSOP34330.pdf;Datasheet\/ir-receiver-modules/TSOP34330\TSOP34330.zip
TSOP34333;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;33;AGC3;39;0.05;± 45;0.35;"1 = OUT,
2 = GND, 3 = VS";;Remote control;Leaded;image/ir-receiver-modules/82490.png;Datasheet\/ir-receiver-modules/TSOP34333\TSOP34333.pdf;Datasheet\/ir-receiver-modules/TSOP34333\TSOP34333.zip
TSOP34336;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;36;AGC3;39;0.05;± 45;0.35;"1 = OUT,
2 = GND, 3 = VS";MCIR;Remote control;Leaded;image/ir-receiver-modules/82490.png;Datasheet\/ir-receiver-modules/TSOP34336\TSOP34336.pdf;Datasheet\/ir-receiver-modules/TSOP34336\TSOP34336.zip
TSOP34336;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;36;AGC3;39;0.05;± 45;0.35;"1 = OUT,
2 = GND, 3 = VS";RCMM;Remote control;Leaded;image/ir-receiver-modules/82490.png;Datasheet\/ir-receiver-modules/TSOP34336\TSOP34336.pdf;Datasheet\/ir-receiver-modules/TSOP34336\TSOP34336.zip
TSOP34338;Enlarge;Mold;6.0 W x 6.95 H x 5.6 D;38;AGC3;39;0.05;± 45;0.35;"1 = OUT,
2 = GND, 3 = VS";RECS-80 Code;Remote control;Leaded;image/ir-receiver-modules/82490.png;Datasheet\/ir-receiver-modules/TSOP34338\TSOP34338.pdf;Datasheet\/ir-receiver-modules/TSOP34338\TSOP34338.zip
