Part Number;Product Image;Description;Voltage;Capacitance;Dielectric;Lead Spacing(mm/inch);Packaging;Lead Style;Image path;Datasheet part;3d model part
S151K43SL0P63K5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;150;SL0;5 mm / 0.200 inch;Bulk;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S151K43SL0P63K5R\S151K43SL0P63K5R.pdf;None
S151K43SL0P6TK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;150;SL0;5 mm / 0.200 inch;Reel;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S151K43SL0P6TK5R\S151K43SL0P6TK5R.pdf;None
S151K43SL0P6UK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;150;SL0;5 mm / 0.200 inch;Ammo;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S151K43SL0P6UK5R\S151K43SL0P6UK5R.pdf;None
S151K47SL0R63K0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;150;SL0;10 mm / 0.400 inch;Bulk;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S151K47SL0R63K0R\S151K47SL0R63K0R.pdf;None
S151M33Y5PR83L6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;150;Y5P;6.35 mm / 0.250 inch;Bulk;Straight;image\capacitors\28521.png;Datasheet\capacitors\S151M33Y5PR83L6R\S151M33Y5PR83L6R.pdf;None
S151M59S3NU83L0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;6000;150;S3N;10 mm / 0.400 inch;Bulk;Straight;image\capacitors\28521.png;Datasheet\capacitors\S151M59S3NU83L0R\S151M59S3NU83L0R.pdf;None
S152K33Y5PN63J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1500;Y5P;5 mm / 0.200 inch;Bulk;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152K33Y5PN63J5R\S152K33Y5PN63J5R.pdf;None
S152K33Y5PN63K5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1500;Y5P;5 mm / 0.200 inch;Bulk;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152K33Y5PN63K5R\S152K33Y5PN63K5R.pdf;None
S152K33Y5PN63L6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1500;Y5P;6.35 mm / 0.250 inch;Bulk;Straight;image\capacitors\28521.png;Datasheet\capacitors\S152K33Y5PN63L6R\S152K33Y5PN63L6R.pdf;None
S152K33Y5PN65J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1500;Y5P;5 mm / 0.200 inch;Bulk;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152K33Y5PN65J5R\S152K33Y5PN65J5R.pdf;None
S152K33Y5PN6TJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1500;Y5P;5 mm / 0.200 inch;Reel;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152K33Y5PN6TJ5R\S152K33Y5PN6TJ5R.pdf;None
S152K33Y5PN6UJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1500;Y5P;5 mm / 0.200 inch;Ammo;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152K33Y5PN6UJ5R\S152K33Y5PN6UJ5R.pdf;None
S152K33Y5PN6UK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1500;Y5P;5 mm / 0.200 inch;Ammo;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152K33Y5PN6UK5R\S152K33Y5PN6UK5R.pdf;None
S152K33Y5PN6UL6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1500;Y5P;6.35 mm / 0.250 inch;Ammo;Straight;image\capacitors\28521.png;Datasheet\capacitors\S152K33Y5PN6UL6R\S152K33Y5PN6UL6R.pdf;None
S152K39X7RN63J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1500;X7R;5 mm / 0.200 inch;Bulk;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152K39X7RN63J5R\S152K39X7RN63J5R.pdf;None
S152K39X7RN6TJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1500;X7R;5 mm / 0.200 inch;Reel;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152K39X7RN6TJ5R\S152K39X7RN6TJ5R.pdf;None
S152K39X7RN6TJ7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1500;X7R;7.5 mm / 0.300 inch;Reel;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152K39X7RN6TJ7R\S152K39X7RN6TJ7R.pdf;None
S152K39X7RN6UJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1500;X7R;5 mm / 0.200 inch;Ammo;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152K39X7RN6UJ5R\S152K39X7RN6UJ5R.pdf;None
S152K39Y5PP63K5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;1500;Y5P;5 mm / 0.200 inch;Bulk;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152K39Y5PP63K5R\S152K39Y5PP63K5R.pdf;None
S152K39Y5PP65K0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;1500;Y5P;10 mm / 0.400 inch;Bulk;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152K39Y5PP65K0R\S152K39Y5PP65K0R.pdf;None
S152K39Y5PP65K5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;1500;Y5P;5 mm / 0.200 inch;Bulk;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152K39Y5PP65K5R\S152K39Y5PP65K5R.pdf;None
S152K39Y5PP65L0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;1500;Y5P;10 mm / 0.400 inch;Bulk;Straight;image\capacitors\28521.png;Datasheet\capacitors\S152K39Y5PP65L0R\S152K39Y5PP65L0R.pdf;None
S152K39Y5PP6TK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;1500;Y5P;5 mm / 0.200 inch;Reel;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152K39Y5PP6TK5R\S152K39Y5PP6TK5R.pdf;None
S152K39Y5PP6UK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;1500;Y5P;5 mm / 0.200 inch;Ammo;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152K39Y5PP6UK5R\S152K39Y5PP6UK5R.pdf;None
S152K43X7RP63K5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;1500;X7R;5 mm / 0.200 inch;Bulk;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152K43X7RP63K5R\S152K43X7RP63K5R.pdf;None
S152K43X7RP6TK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;1500;X7R;5 mm / 0.200 inch;Reel;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152K43X7RP6TK5R\S152K43X7RP6TK5R.pdf;None
S152K43X7RP6UK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;1500;X7R;5 mm / 0.200 inch;Ammo;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152K43X7RP6UK5R\S152K43X7RP6UK5R.pdf;None
S152K47Y5PR63K7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;1500;Y5P;7.5 mm / 0.300 inch;Bulk;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152K47Y5PR63K7R\S152K47Y5PR63K7R.pdf;None
S152K53X7RR63K7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;1500;X7R;7.5 mm / 0.300 inch;Bulk;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152K53X7RR63K7R\S152K53X7RR63K7R.pdf;None
S152K53X7RR63L0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;1500;X7R;10 mm / 0.400 inch;Bulk;Straight;image\capacitors\28521.png;Datasheet\capacitors\S152K53X7RR63L0R\S152K53X7RR63L0R.pdf;None
S152M29Z5UN63J6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1500;Z5U;6.35 mm / 0.250 inch;Bulk;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152M29Z5UN63J6R\S152M29Z5UN63J6R.pdf;None
S152M29Z5UN63L6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1500;Z5U;6.35 mm / 0.250 inch;Bulk;Straight;image\capacitors\28521.png;Datasheet\capacitors\S152M29Z5UN63L6R\S152M29Z5UN63L6R.pdf;None
S152M29Z5UN6UK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1500;Z5U;5 mm / 0.200 inch;Ammo;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152M29Z5UN6UK5R\S152M29Z5UN6UK5R.pdf;None
S152M29Z5UP63K5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;1500;Z5U;5 mm / 0.200 inch;Bulk;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152M29Z5UP63K5R\S152M29Z5UP63K5R.pdf;None
S152M29Z5UP6TK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;1500;Z5U;5 mm / 0.200 inch;Reel;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152M29Z5UP6TK5R\S152M29Z5UP6TK5R.pdf;None
S152M29Z5UP6UK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;1500;Z5U;5 mm / 0.200 inch;Ammo;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152M29Z5UP6UK5R\S152M29Z5UP6UK5R.pdf;None
S152M39Z5UR63K7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;1500;Z5U;7.5 mm / 0.300 inch;Bulk;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152M39Z5UR63K7R\S152M39Z5UR63K7R.pdf;None
S152M39Z5UR6TK7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;1500;Z5U;7.5 mm / 0.300 inch;Reel;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152M39Z5UR6TK7R\S152M39Z5UR6TK7R.pdf;None
S152M69Z5UU83L0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;6000;1500;Z5U;10 mm / 0.400 inch;Bulk;Straight;image\capacitors\28521.png;Datasheet\capacitors\S152M69Z5UU83L0R\S152M69Z5UU83L0R.pdf;None
S152Z25Y5VN63J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1500;Y5V;5 mm / 0.200 inch;Bulk;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152Z25Y5VN63J5R\S152Z25Y5VN63J5R.pdf;None
S152Z25Y5VN6TJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1500;Y5V;5 mm / 0.200 inch;Reel;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152Z25Y5VN6TJ5R\S152Z25Y5VN6TJ5R.pdf;None
S152Z25Y5VN6UJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1500;Y5V;5 mm / 0.200 inch;Ammo;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152Z25Y5VN6UJ5R\S152Z25Y5VN6UJ5R.pdf;None
S152Z29Y5VP63K5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;1500;Y5V;5 mm / 0.200 inch;Bulk;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152Z29Y5VP63K5R\S152Z29Y5VP63K5R.pdf;None
S152Z29Y5VP6TK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;1500;Y5V;5 mm / 0.200 inch;Reel;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152Z29Y5VP6TK5R\S152Z29Y5VP6TK5R.pdf;None
S152Z29Y5VP6UK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;1500;Y5V;5 mm / 0.200 inch;Ammo;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152Z29Y5VP6UK5R\S152Z29Y5VP6UK5R.pdf;None
S152Z33Y5VR63K7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;1500;Y5V;7.5 mm / 0.300 inch;Bulk;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S152Z33Y5VR63K7R\S152Z33Y5VR63K7R.pdf;None
S153M59Z5UN63J7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;15000;Z5U;7.5 mm / 0.300 inch;Bulk;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S153M59Z5UN63J7R\S153M59Z5UN63J7R.pdf;None
S153M59Z5UN63K7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;15000;Z5U;7.5 mm / 0.300 inch;Bulk;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S153M59Z5UN63K7R\S153M59Z5UN63K7R.pdf;None
S153M59Z5UN63L0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;15000;Z5U;10 mm / 0.400 inch;Bulk;Straight;image\capacitors\28521.png;Datasheet\capacitors\S153M59Z5UN63L0R\S153M59Z5UN63L0R.pdf;None
S153Z53Y5VN63J7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;15000;Y5V;7.5 mm / 0.300 inch;Bulk;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S153Z53Y5VN63J7R\S153Z53Y5VN63J7R.pdf;None
S180J25SL0N63J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;18;SL0;5 mm / 0.200 inch;Bulk;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S180J25SL0N63J5R\S180J25SL0N63J5R.pdf;None
S180J25SL0N65J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;18;SL0;5 mm / 0.200 inch;Bulk;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S180J25SL0N65J5R\S180J25SL0N65J5R.pdf;None
S180J25SL0N6TJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;18;SL0;5 mm / 0.200 inch;Reel;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S180J25SL0N6TJ5R\S180J25SL0N6TJ5R.pdf;None
S180J25SL0N6UJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;18;SL0;5 mm / 0.200 inch;Ammo;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S180J25SL0N6UJ5R\S180J25SL0N6UJ5R.pdf;None
S180J25SL0P6UK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;18;SL0;5 mm / 0.200 inch;Ammo;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S180J25SL0P6UK5R\S180J25SL0P6UK5R.pdf;None
S180J33SL0R63K7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;18;SL0;7.5 mm / 0.300 inch;Bulk;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S180J33SL0R63K7R\S180J33SL0R63K7R.pdf;None
S180J33SL0R63L7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;18;SL0;7.5 mm / 0.300 inch;Bulk;Straight;image\capacitors\28521.png;Datasheet\capacitors\S180J33SL0R63L7R\S180J33SL0R63L7R.pdf;None
S180J43SL0U83L0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;6000;18;SL0;10 mm / 0.400 inch;Bulk;Straight;image\capacitors\28521.png;Datasheet\capacitors\S180J43SL0U83L0R\S180J43SL0U83L0R.pdf;None
S180J43SL0U83L7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;6000;18;SL0;7.5 mm / 0.300 inch;Bulk;Straight;image\capacitors\28521.png;Datasheet\capacitors\S180J43SL0U83L7R\S180J43SL0U83L7R.pdf;None
S180K25SL0N63K5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;18;SL0;5 mm / 0.200 inch;Bulk;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S180K25SL0N63K5R\S180K25SL0N63K5R.pdf;None
S180K25SL0P6TK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;18;SL0;5 mm / 0.200 inch;Reel;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S180K25SL0P6TK5R\S180K25SL0P6TK5R.pdf;None
S180K33SL0R63L6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;18;SL0;6.35 mm / 0.250 inch;Bulk;Straight;image\capacitors\28521.png;Datasheet\capacitors\S180K33SL0R63L6R\S180K33SL0R63L6R.pdf;None
S181K25X7RP6UK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;180;X7R;5 mm / 0.200 inch;Ammo;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S181K25X7RP6UK5R\S181K25X7RP6UK5R.pdf;None
S181K25Y5PN63J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;180;Y5P;5 mm / 0.200 inch;Bulk;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S181K25Y5PN63J5R\S181K25Y5PN63J5R.pdf;None
S181K25Y5PN65J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;180;Y5P;5 mm / 0.200 inch;Bulk;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S181K25Y5PN65J5R\S181K25Y5PN65J5R.pdf;None
S181K25Y5PN6TJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;180;Y5P;5 mm / 0.200 inch;Reel;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S181K25Y5PN6TJ5R\S181K25Y5PN6TJ5R.pdf;None
S181K25Y5PN6UJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;180;Y5P;5 mm / 0.200 inch;Ammo;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S181K25Y5PN6UJ5R\S181K25Y5PN6UJ5R.pdf;None
S181K25Y5PP6UK5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;2000;180;Y5P;5 mm / 0.200 inch;Ammo;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S181K25Y5PP6UK5R\S181K25Y5PP6UK5R.pdf;None
S181K29S3NN63L6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;180;S3N;6.35 mm / 0.250 inch;Bulk;Straight;image\capacitors\28521.png;Datasheet\capacitors\S181K29S3NN63L6R\S181K29S3NN63L6R.pdf;None
S182K33Y5PN63J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1800;Y5P;5 mm / 0.200 inch;Bulk;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S182K33Y5PN63J5R\S182K33Y5PN63J5R.pdf;None
S182K33Y5PN63L6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1800;Y5P;6.35 mm / 0.250 inch;Bulk;Straight;image\capacitors\28521.png;Datasheet\capacitors\S182K33Y5PN63L6R\S182K33Y5PN63L6R.pdf;None
S182K33Y5PN65J5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1800;Y5P;5 mm / 0.200 inch;Bulk;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S182K33Y5PN65J5R\S182K33Y5PN65J5R.pdf;None
S182K33Y5PN6TJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1800;Y5P;5 mm / 0.200 inch;Reel;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S182K33Y5PN6TJ5R\S182K33Y5PN6TJ5R.pdf;None
S182K33Y5PN6UJ5R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;1800;Y5P;5 mm / 0.200 inch;Ammo;Inside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S182K33Y5PN6UJ5R\S182K33Y5PN6UJ5R.pdf;None
S182K47Y5PR6TK7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;1800;Y5P;7.5 mm / 0.300 inch;Reel;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S182K47Y5PR6TK7R\S182K47Y5PR6TK7R.pdf;None
S182K47Y5PR8TK0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;1800;Y5P;10 mm / 0.400 inch;Reel;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S182K47Y5PR8TK0R\S182K47Y5PR8TK0R.pdf;None
S182M43Z5UR63K0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;1800;Z5U;10 mm / 0.400 inch;Bulk;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S182M43Z5UR63K0R\S182M43Z5UR63K0R.pdf;None
S182M43Z5UR6TK7R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;3000;1800;Z5U;7.5 mm / 0.300 inch;Reel;Outside Crimp;image\capacitors\28521.png;Datasheet\capacitors\S182M43Z5UR6TK7R\S182M43Z5UR6TK7R.pdf;None
S200K25SL0N63L6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;20;SL0;6.35 mm / 0.250 inch;Bulk;Straight;image\capacitors\28521.png;Datasheet\capacitors\S200K25SL0N63L6R\S200K25SL0N63L6R.pdf;None
S201K33S3NN63L6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;200;S3N;6.35 mm / 0.250 inch;Bulk;Straight;image\capacitors\28521.png;Datasheet\capacitors\S201K33S3NN63L6R\S201K33S3NN63L6R.pdf;None
S202K39Y5PN63L6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;2000;Y5P;6.35 mm / 0.250 inch;Bulk;Straight;image\capacitors\28521.png;Datasheet\capacitors\S202K39Y5PN63L6R\S202K39Y5PN63L6R.pdf;None
S202M29Z5UN63L6R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;1000;2000;Z5U;6.35 mm / 0.250 inch;Bulk;Straight;image\capacitors\28521.png;Datasheet\capacitors\S202M29Z5UN63L6R\S202M29Z5UN63L6R.pdf;None
S202M75Z5UU83L0R;Enlarge;Ceramic Singlelayer DC Disc Capacitors (Straight Leads) Gap-Kap, 1 kVDC to 3 kVDC;6000;2000;Z5U;10 mm / 0.400 inch;Bulk;Straight;image\capacitors\28521.png;Datasheet\capacitors\S202M75Z5UU83L0R\S202M75Z5UU83L0R.pdf;None
